NonPAD-AC,PAD-AC,NonPAD-C1,PAD-C1,NonPAD-CIII,PAD-CIII,NonPAD-CIV,PAD_C IV,NonPAD_C V,PAD_C V
,,0.958245,0.694057,,,,,,
,,0.741783,0.872833,,,,,,
,,0.920217,0.888119,,,,,,
,,0.954544,0.835344,,,,,,
,,0.947259,0.908285,,,,,,
,,0.865607,0.904468,,,,,,
,,0.881437,0.564426,,,,,,
,,0.931612,0.771161,,,,,,
,,0.921221,0.771214,,,,,,
,,0.851826,0.946745,,,,,,
,,0.569927,0.854939,,,,,,
,,0.938717,0.49344,,,,,,
,,0.913744,0.770341,,,,,,
,,0.869767,0.800771,,,,,,
,,0.736222,0.935569,,,,,,
,,0.835751,0.838731,,,,,,
,,0.533108,0.770901,,,,,,
,,0.90009,0.924725,,,,,,
,,0.701704,0.877961,,,,,,
,,0.934351,0.913818,,,,,,
,,0.857441,0.906692,,,,,,
,,0.713408,0.789664,,,,,,
,,0.64908,0.837618,,,,,,
,,0.723929,0.886028,,,,,,
,,0.9336,0.862758,,,,,,
,,0.734245,0.712735,,,,,,
,,0.87129,0.934718,,,,,,
,,0.925894,0.895829,,,,,,
,,0.934838,0.861792,,,,,,
,,0.954334,0.849794,,,,,,
,,0.888026,0.914695,,,,,,
,,0.819949,0.627723,,,,,,
,,0.905461,0.834891,,,,,,
,,0.880693,0.716363,,,,,,
,,0.824347,0.84978,,,,,,
,,0.646869,0.670396,,,,,,
,,0.911847,0.611036,,,,,,
,,0.892869,0.650825,,,,,,
,,0.824577,0.862226,,,,,,
,,0.761144,0.740155,,,,,,
,,0.864177,0.513392,,,,,,
,,0.55321,0.937132,,,,,,
,,0.894393,0.910543,,,,,,
,,0.681015,0.906163,,,,,,
,,0.910647,0.858789,,,,,,
,,0.806574,0.73028,,,,,,
,,0.655254,0.743723,,,,,,
,,0.601237,0.863974,,,,,,
,,0.716181,0.555765,,,,,,
,,0.918421,0.765379,,,,,,
,,0.721819,0.626202,,,,,,
,,0.850033,0.553634,,,,,,
,,0.933647,0.61949,,,,,,
,,0.891267,0.544492,,,,,,
,,0.906131,0.763211,,,,,,
,,0.854023,0.693037,,,,,,
,,0.898392,0.542103,,,,,,
,,0.941791,0.470451,,,,,,
,,0.937991,0.709547,,,,,,
,,0.904743,0.811962,,,,,,
,,0.902714,0.871993,,,,,,
,,0.711158,0.719868,,,,,,
,,0.937755,0.813018,,,,,,
,,0.939931,0.787624,,,,,,
,,0.852925,0.760777,,,,,,
,,0.813731,0.730166,,,,,,
,,0.887184,0.839257,,,,,,
,,0.583895,0.655001,,,,,,
,,0.879627,0.566219,,,,,,
,,0.729292,0.699844,,,,,,
,,0.927655,0.822433,,,,,,
,,0.86381,0.611277,,,,,,
,,0.802075,0.652377,,,,,,
,,0.782128,0.696921,,,,,,
,,0.804393,0.631948,,,,,,
,,0.937955,0.538419,,,,,,
,,0.753898,0.713557,,,,,,
,,0.888138,0.60629,,,,,,
,,0.93867,0.6129,,,,,,
,,0.931543,0.651134,,,,,,
,,0.946499,0.541002,,,,,,
,,0.932773,0.657275,,,,,,
,,0.888035,0.616524,,,,,,
,,0.824937,0.758287,,,,,,
,,0.801754,0.52031,,,,,,
,,0.833739,0.451718,,,,,,
,,0.809195,0.651812,,,,,,
,,0.804823,0.592048,,,,,,
,,0.607508,0.479976,,,,,,
,,0.830936,0.491629,,,,,,
,,0.795995,0.52176,,,,,,
,,0.716674,0.603962,,,,,,
,,0.800707,0.447621,,,,,,
,,0.852189,0.445894,,,,,,
,,0.698964,0.628392,,,,,,
,,0.650061,0.619918,,,,,,
,,0.805652,0.638325,,,,,,
,,0.785006,0.584143,,,,,,
,,0.765899,0.556725,,,,,,
,,0.771895,0.590756,,,,,,
,,0.662264,0.955179,,,,,,
,,0.728741,0.883772,,,,,,
,,0.756489,0.914006,,,,,,
,,0.586093,0.810682,,,,,,
,,0.614889,0.925289,,,,,,
,,0.83962,0.851929,,,,,,
,,0.879125,0.862216,,,,,,
,,0.809388,0.829348,,,,,,
,,0.780914,0.816852,,,,,,
