prot1	prot2	r
ATP5F1A	NDUFAF1	0.59491478311416
ATP5F1A	COA3	0.574504805673632
ATP5F1A	COA7	0.444053373720789
ATP5F1A	MT-CO1	0.836126073844537
ATP5F1A	COX11	0.533148433047026
ATP5F1A	COX17	0.635454528962111
ATP5F1A	MT-CO2	0.890458515923104
ATP5F1A	COX20	0.60838717632974
ATP5F1A	COX4I1	0.895055876961395
ATP5F1A	COX6C	0.734370240846456
ATP5F1A	COX7C	0.628900584006883
ATP5F1A	COX7A2L	0.65164586233859
ATP5F1A	COX6B1	0.710811247491069
ATP5F1A	COX7A1	0.639230129448238
ATP5F1A	CYC1	0.967927420467238
ATP5F1A	ECSIT	0.660033133140839
ATP5F1A	FOXRED1	0.502730634786701
ATP5F1A	NDUFA2	0.854253472634689
ATP5F1A	NDUFA3	0.756216894238539
ATP5F1A	NDUFA5	0.817789541164185
ATP5F1A	NDUFA6	0.850035577347505
ATP5F1A	NDUFA7	0.830138566428246
ATP5F1A	NDUFA8	0.608620079161321
ATP5F1A	NDUFA9	0.880345940957835
ATP5F1A	NDUFA10	0.88454001017512
ATP5F1A	NDUFA11	0.769770459450909
ATP5F1A	NDUFA12	0.829447863712983
ATP5F1A	NDUFA13	0.839894186920851
ATP5F1A	NDUFB1	0.671376223909854
ATP5F1A	NDUFB3	0.821747502500535
ATP5F1A	NDUFB4	0.608159465685933
ATP5F1A	NDUFB5	0.861334852794255
ATP5F1A	NDUFB6	0.694248591169337
ATP5F1A	NDUFB8	0.563797980740883
ATP5F1A	NDUFB9	0.629922159833628
ATP5F1A	NDUFB10	0.838351348451726
ATP5F1A	NDUFB11	0.703100562514185
ATP5F1A	NDUFC2	0.584734541675658
ATP5F1A	NDUFAF4	0.757370475230733
ATP5F1A	NDUFAF5	0.563998145068958
ATP5F1A	NDUFAF6	0.763236141087269
ATP5F1A	NDUFAF7	0.790668850808547
ATP5F1A	NDUFS1	0.88236793719773
ATP5F1A	NDUFS2	0.871955905913689
ATP5F1A	NDUFS3	0.858774827975835
ATP5F1A	NDUFS4	0.858283380805501
ATP5F1A	NDUFS5	0.857024312465903
ATP5F1A	NDUFS6	0.566310736621384
ATP5F1A	NDUFS7	0.586022566571303
ATP5F1A	NDUFS8	0.772581605323538
ATP5F1A	NDUFV1	0.871777525667779
ATP5F1A	NDUFV2	0.801654442553036
ATP5F1A	MT-ND1	0.726463362540667
ATP5F1A	MT-ND4	0.609487318310801
ATP5F1A	MT-ND5	0.711301044819433
ATP5F1A	NUBPL	0.506661075073518
ATP5F1A	UQCRC1	0.960522954977532
ATP5F1A	UQCRC2	0.966750147646457
ATP5F1A	UQCRH	0.604813111151096
ATP5F1A	UQCRB	0.940355596476884
